native opcodes
21 10000000001010
22 10000000001010
23 10000000001010
24 10000000001010
25 10000000001010
26 10000000001010
27 10000000001010
28 01000110000000
29 01000110000000
2A 01000110000000
2B 01000110000000
2C 01000110000000
2D 01000110000000
2E 01000110000000
2F 01000110000000
30 01010110000011
31 01010110000011
32 01010110000011
33 01010110000011
34 01010110000011
35 01010110000011
36 01010110000011
37 01010110000011
38 01010110000011
39 01010110000011
3A 01010110000011
3B 01010110000011
3C 01010110000011
3D 01010110000011
3E 01010110000011
3F 01010110000011
40 00000000000000
41 00000000000000
42 00000000000000
43 00000000000000
44 00000000000000
45 00000000000000
46 00000000000000
47 00000000000000
48 00000000000000
49 00000000000000
4A 00000000000000
4B 00000000000000
4C 00000000000000
4D 00000000000000
4E 00000000000000
4F 00000000000000
50 00000000000000
51 00000000000000
52 00000000000000
53 00000000000000
54 00000000000000
55 00000000000000
56 00000000000000
57 00000000000000
58 00000000000000
59 00000000000000
5A 00000000000000
5B 00000000000000
5C 00000000000000
5D 00000000000000
5E 00000000000000
5F 00000000000000
60 00000000000000
61 00000000000000
62 00000000000000
63 00000000000000
64 00000000000000
65 00000000000000
66 00000000000000
67 00000000000000
68 00000000000000
69 00000000000000
6A 00000000000000
6B 00000000000000
6C 00000000000000
6D 00000000000000
6E 00000000000000
6F 00000000000000
70 00000000000000
71 00000000000000
72 00000000000000
73 00000000000000
74 00000000000000
75 00000000000000
76 00000000000000
77 00000000000000
78 00000000000000
79 00000000000000
7A 00000000000000
7B 00000000000000
7C 00000000000000
7D 00000000000000
7E 00000000000000
7F 00000000000000
80 00000000000000
81 00000000000000
82 00000000000000
83 00000000000000
84 00000000000000
85 00000000000000
86 00000000000000
87 00000000000000
88 00000000000000
89 00000000000000
8A 00000000000000
8B 00000000000000
8C 00000000000000
8D 00000000000000
8E 00000000000000
8F 00000000000000
90 00000000000000
91 00000000000000
92 00000000000000
93 00000000000000
94 00000000000000
95 00000000000000
96 00000000000000
97 00000000000000
98 00000000000000
99 00000000000000
9A 00000000000000
9B 00000000000000
9C 00000000000000
9D 00000000000000
9E 00000000000000
9F 00000000000000
A0 00000000000000
A1 00000000000000
A2 00000000000000
A3 00000000000000
A4 00000000000000
A5 00000000000000
A6 00000000000000
A7 00000000000000
A8 00000000000000
A9 00000000000000
AA 00000000000000
AB 00000000000000
AC 00000000000000
AD 00000000000000
AE 00000000000000
AF 00000000000000
B0 00000000000000
B1 00000000000000
B2 00000000000000
B3 00000000000000
B4 00000000000000
B5 00000000000000
B6 00000000000000
B7 00000000000000
B8 00000000000000
B9 00000000000000
BA 00000000000000
BB 00000000000000
BC 00000000000000
BD 00000000000000
BE 00000000000000
BF 00000000000000
C0 00000000000000
C1 00000000000000
C2 00000000000000
C3 00000000000000
C4 00000000000000
C5 00000000000000
C6 00000000000000
C7 00000000000000
C8 00000000000000
C9 00000000000000
CA 00000000000000
CB 00000000000000
CC 00000000000000
