D1.3: 500/500 full  (cycles 500, arch 500)
D1.4: 500/500 full  (cycles 500, arch 500)
D1.5: 500/500 full  (cycles 500, arch 500)
D1.6: 500/500 full  (cycles 500, arch 500)
D1.7: 500/500 full  (cycles 500, arch 500)
D2.0: 500/500 full  (cycles 500, arch 500)
D2.1: 500/500 full  (cycles 500, arch 500)
D2.2: 500/500 full  (cycles 500, arch 500)
D2.3: 500/500 full  (cycles 500, arch 500)
D2.4: 500/500 full  (cycles 500, arch 500)
D2.5: 500/500 full  (cycles 500, arch 500)
D2.6: 500/500 full  (cycles 500, arch 500)
D2.7: 500/500 full  (cycles 500, arch 500)
D3.0: 500/500 full  (cycles 500, arch 500)
D3.1: 500/500 full  (cycles 500, arch 500)
D3.2: 500/500 full  (cycles 500, arch 500)
D3.3: 500/500 full  (cycles 500, arch 500)
D3.4: 500/500 full  (cycles 500, arch 500)
D3.5: 500/500 full  (cycles 500, arch 500)
D3.6: 500/500 full  (cycles 500, arch 500)
D3.7: 500/500 full  (cycles 500, arch 500)
D4: 500/500 full  (cycles 500, arch 500)
D5: 500/500 full  (cycles 500, arch 500)
D7: 500/500 full  (cycles 500, arch 500)
D8: 500/500 full  (cycles 500, arch 500)
D9: 500/500 full  (cycles 500, arch 500)
DA: 500/500 full  (cycles 500, arch 500)
DB: 500/500 full  (cycles 500, arch 500)
DC: 500/500 full  (cycles 500, arch 500)
DD: 500/500 full  (cycles 500, arch 500)
DE: 500/500 full  (cycles 500, arch 500)
DF: 500/500 full  (cycles 500, arch 500)
E0: 500/500 full  (cycles 500, arch 500)
E1: 500/500 full  (cycles 500, arch 500)
E2: 500/500 full  (cycles 500, arch 500)
E3: 500/500 full  (cycles 500, arch 500)
E4: 500/500 full  (cycles 500, arch 500)
E5: 500/500 full  (cycles 500, arch 500)
E6: 500/500 full  (cycles 500, arch 500)
E7: 500/500 full  (cycles 500, arch 500)
E8: 500/500 full  (cycles 500, arch 500)
E9: 500/500 full  (cycles 500, arch 500)
EA: 500/500 full  (cycles 500, arch 500)
EB: 500/500 full  (cycles 500, arch 500)
EC: 500/500 full  (cycles 500, arch 500)
ED: 500/500 full  (cycles 500, arch 500)
EE: 500/500 full  (cycles 500, arch 500)
EF: 500/500 full  (cycles 500, arch 500)
F2A6: 500/500 full  (cycles 500, arch 500)
F2A7: 500/500 full  (cycles 500, arch 500)
F2AA: 500/500 full  (cycles 500, arch 500)
F2AE: 500/500 full  (cycles 500, arch 500)
F2AF: 500/500 full  (cycles 500, arch 500)
F3A4: 500/500 full  (cycles 500, arch 500)
F3A5: 500/500 full  (cycles 500, arch 500)
F3A6: 500/500 full  (cycles 500, arch 500)
F3A7: 500/500 full  (cycles 500, arch 500)
F3AA: 500/500 full  (cycles 500, arch 500)
F3AB: 500/500 full  (cycles 500, arch 500)
F3AC: 500/500 full  (cycles 500, arch 500)
F3AD: 500/500 full  (cycles 500, arch 500)
F3AE: 500/500 full  (cycles 500, arch 500)
F3AF: 500/500 full  (cycles 500, arch 500)
F5: 500/500 full  (cycles 500, arch 500)
F6.0: 500/500 full  (cycles 500, arch 500)
F6.2: 500/500 full  (cycles 500, arch 500)
F6.3: 500/500 full  (cycles 500, arch 500)
F6.4: 500/500 full  (cycles 500, arch 500)
F6.5: 500/500 full  (cycles 500, arch 500)
F6.6: 500/500 full  (cycles 500, arch 500)
F6.7: 500/500 full  (cycles 500, arch 500)
F7.0: 500/500 full  (cycles 500, arch 500)
F7.2: 500/500 full  (cycles 500, arch 500)
F7.3: 500/500 full  (cycles 500, arch 500)
  F7.4: 1 collision-dependent golden(s) validated under +mirror (64K RAM, as captured): idx [174]
F7.4: 500/500 full  (cycles 500, arch 500)
F7.5: 500/500 full  (cycles 500, arch 500)
F7.6: 500/500 full  (cycles 500, arch 500)
F7.7: 500/500 full  (cycles 500, arch 500)
F8: 500/500 full  (cycles 500, arch 500)
F9: 500/500 full  (cycles 500, arch 500)
FA: 500/500 full  (cycles 500, arch 500)
FB: 500/500 full  (cycles 500, arch 500)
FC: 500/500 full  (cycles 500, arch 500)
FD: 500/500 full  (cycles 500, arch 500)
FE.0: 500/500 full  (cycles 500, arch 500)
FE.1: 500/500 full  (cycles 500, arch 500)
FF.0: 500/500 full  (cycles 500, arch 500)
FF.1: 500/500 full  (cycles 500, arch 500)
FF.2: 500/500 full  (cycles 500, arch 500)
FF.3: 500/500 full  (cycles 500, arch 500)
FF.4: 500/500 full  (cycles 500, arch 500)
FF.5: 500/500 full  (cycles 500, arch 500)
FF.6: 500/500 full  (cycles 500, arch 500)
HLT.INT: 200/200 full  (cycles 200, arch 200)
HLT.NMI: 200/200 full  (cycles 200, arch 200)
HLT.RES: 200/200 full  (cycles 200, arch 200)
IE0.90: 200/200 full  (cycles 200, arch 200)
INT.8ED0: 200/200 full  (cycles 200, arch 200)
INT.8ED8: 200/200 full  (cycles 200, arch 200)
INT.90: 200/200 full  (cycles 200, arch 200)
INT.9D: 200/200 full  (cycles 200, arch 200)
INT.B8: 200/200 full  (cycles 200, arch 200)
INT.F3AA: 200/200 full  (cycles 200, arch 200)
INT.FB: 200/200 full  (cycles 200, arch 200)
NMI.90: 200/200 full  (cycles 200, arch 200)
NMI.B8: 200/200 full  (cycles 200, arch 200)
POLL.LO: 200/200 full  (cycles 200, arch 200)
POLL.REL: 200/200 full  (cycles 200, arch 200)

TOTAL: 169000/169000 full (cycles 169000, arch 169000)
